57.0	38.0	57.4347336843
4.0	41.0	19.3292484749
26.0	27.0	34.1039968847
56.0	43.0	60.165805157
45.0	54.0	60.0751730326
58.0	33.0	54.4437142799
79.0	40.0	69.1083058616
7.0	89.0	34.4829679487
32.0	57.0	52.5455987224
29.0	92.0	63.2328291377
71.0	83.0	91.4317349793
77.0	78.0	92.3928156514
7.0	12.0	14.2881513899
50.0	66.0	69.3400550368
84.0	79.0	97.0132188462
23.0	5.0	16.8182338662
10.0	91.0	40.0606348294
10.0	1.0	7.91384908874
79.0	81.0	95.2310354701
77.0	63.0	83.6864063117
56.0	68.0	74.2319944822
52.0	61.0	68.1006542185
38.0	54.0	55.4791494688
50.0	82.0	76.83995666
74.0	72.0	87.287578935
20.0	95.0	54.5691322925
14.0	26.0	25.6017840283
67.0	60.0	76.4121842223
39.0	27.0	41.1729614792
96.0	61.0	92.0760773074
49.0	9.0	29.5515714286
14.0	25.0	25.1741440767
40.0	92.0	73.1860035524
82.0	63.0	86.3407484471
64.0	0.0	9.323
36.0	82.0	65.9410251145
41.0	44.0	52.339378306
78.0	12.0	41.8028313673
39.0	35.0	46.126049261
54.0	35.0	53.9399873814
24.0	14.0	25.0247313513
43.0	87.0	73.6581433049
28.0	77.0	57.0700327793
47.0	95.0	80.1150840606
73.0	47.0	71.3548814396
88.0	75.0	96.9062411892
73.0	0.0	10.0944285714
6.0	82.0	31.2183587271
80.0	11.0	40.9877939484
68.0	48.0	69.5401417141
17.0	56.0	39.3489258125
39.0	66.0	61.6861750044
30.0	60.0	52.2636925855
13.0	94.0	45.2801165859
91.0	63.0	90.953862499
27.0	18.0	29.2255505422
93.0	47.0	80.6079672757
23.0	91.0	56.7580312205
48.0	79.0	74.0450744162
24.0	25.0	31.8178974278
93.0	7.0	37.7234159301
12.0	15.0	19.139407865
32.0	58.0	52.9757470285
22.0	44.0	39.3499840865
12.0	27.0	24.4087142857
22.0	28.0	32.142347292
43.0	90.0	74.8751812028
74.0	56.0	77.7540506149
77.0	86.0	96.7272434688
55.0	16.0	39.1306510912
20.0	69.0	46.6427798134
30.0	47.0	46.6443952825
46.0	32.0	47.9753664722
78.0	81.0	94.6374192255
96.0	13.0	48.135757751
47.0	10.0	30.116769103
44.0	49.0	56.8414613507
28.0	89.0	61.2429358974
82.0	41.0	71.191470343
63.0	3.0	23.1564413706
49.0	7.0	26.9575448917
36.0	54.0	54.0995296558
52.0	30.0	49.505549602
82.0	18.0	50.313173996
52.0	10.0	31.6693656448
19.0	69.0	45.6164482662
54.0	62.0	69.8706188517
11.0	82.0	39.4991719782
70.0	47.0	69.8815215988
54.0	68.0	72.9486010587
99.0	26.0	64.5433178616
73.0	96.0	99.293941003
7.0	62.0	28.8128095131
80.0	70.0	89.5275763069
32.0	93.0	66.4471553594
94.0	70.0	97.0116277341
32.0	3.0	16.5495303997
83.0	53.0	80.3051004523
83.0	71.0	91.7745921222
74.0	44.0	69.7557990422
54.0	15.0	37.7834989415
0.0	64.0	7.49442857143
72.0	95.0	98.1415782268
78.0	21.0	52.1952126897
90.0	79.0	100.386673078
28.0	62.0	51.4454761691
47.0	69.0	68.7560583853
45.0	15.0	34.5323335421
89.0	83.0	102.156372776
57.0	77.0	79.3725283002
63.0	74.0	81.7446972033
40.0	3.0	18.3917368644
47.0	80.0	73.7561245813
46.0	89.0	76.850230235
73.0	56.0	77.231898024
59.0	52.0	67.2553868394
30.0	68.0	55.460787734
71.0	55.0	75.5558563427
3.0	12.0	10.7801428571
50.0	9.0	29.8504891499
0.0	4.0	4.06585714286
19.0	51.0	39.5089076897
4.0	41.0	19.3292484749
7.0	30.0	20.6429481748
85.0	32.0	65.1051906702
65.0	4.0	25.7618012109
83.0	65.0	88.1165208567
32.0	10.0	25.0401152486
73.0	34.0	61.8569605426
14.0	95.0	46.9350222005
39.0	17.0	33.9003578077
24.0	37.0	37.8080431372
30.0	78.0	59.2394036326
40.0	87.0	71.2288105293
3.0	5.0	8.25312620335
18.0	70.0	44.8766215557
61.0	18.0	43.230511623
50.0	22.0	42.5463907607
24.0	83.0	55.2691129231
69.0	85.0	91.1920022799
11.0	38.0	27.3966197288
87.0	27.0	61.3037689785
12.0	31.0	25.9245872363
73.0	42.0	67.8659013711
19.0	0.0	5.46585714286
50.0	8.0	28.5801428571
30.0	41.0	43.8229272621
24.0	5.0	17.1345940072
40.0	21.0	37.4486106352
65.0	0.0	9.40871428571
58.0	16.0	40.1860924235
54.0	27.0	48.1924804698
55.0	12.0	34.9277508716
54.0	54.0	65.5515714286
55.0	26.0	47.8526265167
55.0	96.0	86.7008942126
2.0	60.0	18.3917368644
1.0	91.0	18.6623920142
